case_id,title,category,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity,expected_next_command,expected_fix
C-018,Missing static route to remote network,Routing,PC on 192.168.1.0/24 cannot reach 10.0.0.0/24 network,R1 connects LAN 192.168.1.0/24; R2 connects 10.0.0.0/24; serial link between R1 and R2,"R1# show ip route
Gateway of last resort is not set
C    192.168.1.0/24 is directly connected, GigabitEthernet0/0
L    192.168.1.1/32 is directly connected, GigabitEthernet0/0
C    172.16.0.0/30 is directly connected, Serial0/0/0
L    172.16.0.1/32 is directly connected, Serial0/0/0

R1# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     192.168.1.1     YES manual up                    up
Serial0/0/0            172.16.0.1      YES manual up                    up

R1# ping 10.0.0.1
% Destination host unreachable",R1 has no route to 10.0.0.0/24 — missing static route via the serial link to R2,3,Static routing,medium,show ip route,"ip route 10.0.0.0 255.255.255.0 172.16.0.2"
C-019,OSPF not enabled on an interface,Routing,R2 routes are not appearing in R1 OSPF table,R1 and R2 connected via 172.16.0.0/30; R2 has 10.0.0.0/24 LAN,"R1# show ip ospf neighbor
(no output)

R1# show ip protocols
Routing Protocol is ""ospf 1""
  Router ID 1.1.1.1
  Routing for Networks:
    192.168.1.0 0.0.0.255 area 0

R1# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     192.168.1.1     YES manual up                    up
Serial0/0/0            172.16.0.1      YES manual up                    up",OSPF network statement on R1 does not include the Serial0/0/0 link (172.16.0.0/30) so no neighbor adjacency forms,3,OSPF configuration,high,show ip ospf interface,"network 172.16.0.0 0.0.0.3 area 0 (under router ospf 1)"
C-020,Wrong next-hop in static route,Routing,Traffic to 10.0.0.0/24 is blackholed despite static route existing,R1 has serial link to R2 at 172.16.0.2; R2 has 10.0.0.0/24 LAN,"R1# show ip route static
S    10.0.0.0/24 [1/0] via 172.16.0.5

R1# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
Serial0/0/0            172.16.0.1      YES manual up                    up

R1# show cdp neighbors detail
Device ID: R2
  IP address: 172.16.0.2
  Interface: Serial0/0/0

R1# ping 172.16.0.5
% Destination host unreachable
R1# ping 172.16.0.2
Reply from 172.16.0.2: bytes=32 time=2ms TTL=255",Static route to 10.0.0.0/24 points to wrong next-hop 172.16.0.5 instead of 172.16.0.2,3,Static routing,high,show ip route 10.0.0.0,"no ip route 10.0.0.0 255.255.255.0 172.16.0.5 / ip route 10.0.0.0 255.255.255.0 172.16.0.2"
C-021,Default route missing on edge router,Routing,Internal hosts cannot reach any external/internet destinations,R1 is the edge router; ISP router at 203.0.113.1 is the next hop,"R1# show ip route
Gateway of last resort is not set
C    192.168.1.0/24 is directly connected, GigabitEthernet0/0
L    192.168.1.1/32 is directly connected, GigabitEthernet0/0
C    203.0.113.0/30 is directly connected, Serial0/0/0
L    203.0.113.2/32 is directly connected, Serial0/0/0

R1# ping 203.0.113.1
Reply from 203.0.113.1: bytes=32 time=1ms TTL=255

R1# ping 8.8.8.8
% Destination host unreachable",No default route configured on R1; gateway of last resort is not set so traffic to unknown destinations is dropped,3,Default routing,medium,show ip route,"ip route 0.0.0.0 0.0.0.0 203.0.113.1"
C-022,OSPF area mismatch between neighbors,Routing,R1 and R2 are directly connected but OSPF adjacency does not form,R1 Serial0/0/0 to R2 Serial0/0/0 on 172.16.0.0/30,"R1# show ip ospf interface Serial0/0/0
Serial0/0/0 is up, line protocol is up
  Internet Address 172.16.0.1/30, Area 0
  Process ID 1, Router ID 1.1.1.1

R2# show ip ospf interface Serial0/0/0
Serial0/0/0 is up, line protocol is up
  Internet Address 172.16.0.2/30, Area 1
  Process ID 1, Router ID 2.2.2.2

R1# show ip ospf neighbor
(no output)",OSPF area mismatch: R1 has Serial0/0/0 in area 0 but R2 has the same link in area 1 — adjacency cannot form,3,OSPF areas,high,show ip ospf interface Serial0/0/0,"network 172.16.0.0 0.0.0.3 area 0 (on R2 to match R1)"
C-023,ACL blocking all traffic instead of specific host,ACL,All hosts on 192.168.1.0/24 are blocked from reaching the server at 10.0.0.100,R1 has ACL applied on Gi0/0 inbound,"R1# show access-lists
Extended IP access list 101
    10 deny ip any host 10.0.0.100

R1# show ip interface GigabitEthernet0/0
GigabitEthernet0/0 is up, line protocol is up
  Internet address is 192.168.1.1/24
  Inbound  access list is 101
  Outgoing access list is not set",ACL 101 denies all traffic to 10.0.0.100 but has no permit statement — the implicit deny all at the end blocks all other traffic too,3,ACL implicit deny,high,show access-lists 101,"Add permit ip any any after the deny rule: access-list 101 permit ip any any"
C-024,ACL applied in wrong direction,ACL,Traffic from 192.168.1.0/24 can still reach blocked server 10.0.0.100 despite ACL,R1 Gi0/0 faces the LAN; Gi0/1 faces the server network,"R1# show access-lists
Extended IP access list BLOCK_SERVER
    10 deny ip 192.168.1.0 0.0.0.255 host 10.0.0.100
    20 permit ip any any

R1# show ip interface GigabitEthernet0/1
GigabitEthernet0/1 is up, line protocol is up
  Internet address is 10.0.0.1/24
  Inbound  access list is BLOCK_SERVER
  Outgoing access list is not set

R1# show ip interface GigabitEthernet0/0
GigabitEthernet0/0 is up, line protocol is up
  Internet address is 192.168.1.1/24
  Inbound  access list is not set
  Outgoing access list is not set",ACL BLOCK_SERVER is applied inbound on Gi0/1 (server side) but traffic from 192.168.1.0 enters via Gi0/0 — ACL should be inbound on Gi0/0 or outbound on Gi0/1,3,ACL direction and placement,medium,show ip interface GigabitEthernet0/0,"Move ACL: no ip access-group BLOCK_SERVER in (on Gi0/1); ip access-group BLOCK_SERVER in (on Gi0/0)"
C-025,Standard ACL blocking more traffic than intended,ACL,Multiple subnets are being denied access to server network instead of just 192.168.2.0/24,R1 connects 192.168.1.0/24 and 192.168.2.0/24 to server 10.0.0.0/24,"R1# show access-lists
Standard IP access list 10
    10 deny 192.168.0.0 0.0.255.255
    20 permit any

R1# show ip interface GigabitEthernet0/1
GigabitEthernet0/1 is up, line protocol is up
  Internet address is 10.0.0.1/24
  Outgoing access list is 10",Standard ACL 10 uses wildcard 0.0.255.255 which blocks both 192.168.1.0/24 and 192.168.2.0/24 instead of only 192.168.2.0/24,3,ACL wildcard masks,medium,show access-lists 10,"Replace with: no access-list 10 / access-list 10 deny 192.168.2.0 0.0.0.255 / access-list 10 permit any"
C-026,ACL referencing wrong port number,ACL,Web server at 10.0.0.100 is accessible on port 80 despite ACL meant to block HTTP,R1 filters traffic between LAN and server network,"R1# show access-lists
Extended IP access list WEB_BLOCK
    10 deny tcp any host 10.0.0.100 eq 443
    20 permit ip any any

R1# show ip interface GigabitEthernet0/0
  Inbound  access list is WEB_BLOCK

PC1> telnet 10.0.0.100 80
Trying 10.0.0.100...Open
Connection to host established.",ACL blocks port 443 (HTTPS) instead of port 80 (HTTP) so HTTP traffic passes through,4,ACL port filtering,low,show access-lists WEB_BLOCK,"Change eq 443 to eq 80 in ACL rule 10"
C-027,NAT inside/outside interfaces swapped,NAT,Internal hosts 192.168.1.0/24 cannot reach external networks via NAT,R1 Gi0/0 faces LAN; Gi0/1 faces ISP,"R1# show ip nat translations
(empty)

R1# show ip nat statistics
Total active translations: 0
Outside interfaces:
  GigabitEthernet0/0
Inside interfaces:
  GigabitEthernet0/1

R1# show running-config | include nat
ip nat inside source list 1 interface GigabitEthernet0/1 overload
interface GigabitEthernet0/0
 ip nat outside
interface GigabitEthernet0/1
 ip nat inside",NAT inside/outside designations are swapped: Gi0/0 (LAN-facing) is marked outside and Gi0/1 (ISP-facing) is marked inside,3,NAT inside/outside,high,show ip nat statistics,"Swap: Gi0/0 should be ip nat inside; Gi0/1 should be ip nat outside; update overload to reference Gi0/1"
C-028,NAT access list not matching internal network,NAT,Hosts on 192.168.1.0/24 cannot reach external networks; NAT table stays empty,R1 performing PAT for LAN; Gi0/1 is the outside interface,"R1# show ip nat translations
(empty)

R1# show access-lists
Standard IP access list 1
    10 permit 10.0.0.0 0.0.0.255

R1# show ip nat statistics
Total active translations: 0
Inside interfaces:
  GigabitEthernet0/0
Outside interfaces:
  GigabitEthernet0/1

R1# show running-config | include nat
ip nat inside source list 1 interface GigabitEthernet0/1 overload

R1# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     192.168.1.1     YES manual up                    up
GigabitEthernet0/1     203.0.113.2     YES manual up                    up",NAT source list 1 permits 10.0.0.0/24 but the internal network is 192.168.1.0/24 — no traffic matches the ACL,3,NAT with ACL,medium,show access-lists 1,"Replace ACL: no access-list 1 / access-list 1 permit 192.168.1.0 0.0.0.255"
C-029,Wireless SSID not broadcasting,Wireless,Clients cannot see the Wi-Fi network in available networks list,WLC managing AP1; SSID CorpWiFi should be visible,"WLC> show wlan summary
WLAN ID  WLAN Profile Name  Status   Interface Name
-------  -----------------  ------   --------------
1        CorpWiFi           Disabled management

WLC> show wlan 1
WLAN Identifier..................: 1
Profile Name.....................: CorpWiFi
Network Name (SSID)..............: CorpWiFi
Status...........................: Disabled
Broadcast SSID...................: Enabled",WLAN profile CorpWiFi is administratively disabled so the SSID is not being broadcast by any AP,1,Wireless WLAN management,medium,show wlan 1,"Enable the WLAN: wlan enable 1"
C-030,Wireless client authentication failure due to wrong security mode,Wireless,Client sees the SSID but fails to connect with correct WPA2 password,AP configured with WPA2; client attempting to connect,"WLC> show wlan 1
WLAN Identifier..................: 1
Profile Name.....................: CorpWiFi
Network Name (SSID)..............: CorpWiFi
Status...........................: Enabled
Broadcast SSID...................: Enabled
Security
  802.11 Authentication...........: Open System
  WPA+WPA2.......................: Enabled
    WPA2 Encryption...............: AES
    Auth Key Management...........: 802.1x

WLC> show client summary
Number of Clients...............: 0

Client authentication log:
  MAC: 0011.2233.4455 - Auth failure - EAP timeout",WLAN is configured for 802.1x (enterprise) authentication but clients are attempting PSK authentication — auth key management mismatch,1,Wireless security modes,high,show wlan 1 security,"Change Auth Key Management from 802.1x to PSK and configure a pre-shared key"
